0.45*0(0),0.3*1(0),0.15*0(0),0.1*20(0),0.045*19(1),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*18(0),0.045*36(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*29(0),0.045*20(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*29(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*4(0),0.1*29(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*33(0),0.045*32(0),0.015*0(0)
0.45*0(0),0.3*6(0),0.15*1(0),0.1*26(0),0.045*36(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*2(0),0.1*17(0),0.045*29(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*0(0),0.1*25(0),0.045*35(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*1(0),0.1*29(0),0.045*39(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*26(0),0.045*33(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*27(0),0.045*31(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*23(0),0.045*41(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*28(0),0.045*64(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*13(0),0.045*30(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*31(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*44(0),0.045*25(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*39(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*26(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*10(0),0.045*29(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*36(0),0.045*30(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*31(0),0.045*26(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*33(0),0.045*23(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*25(0),0.045*28(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*34(0),0.045*30(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*35(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*49(5),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*1(0),0.1*40(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*31(0),0.045*26(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*39(0),0.045*26(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*2(0),0.1*45(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*49(0),0.045*20(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*4(0),0.1*31(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*2(0),0.1*27(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*4(0),0.1*42(0),0.045*23(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*7(0),0.1*24(0),0.045*21(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*3(0),0.1*32(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*4(0),0.1*32(0),0.045*22(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*31(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*8(0),0.1*26(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*2(0),0.1*26(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*37(0),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*31(0),0.045*21(1),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*5(0),0.1*34(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*37(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*38(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*24(0),0.045*26(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*47(0),0.045*45(1),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*28(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*35(0),0.045*9(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*47(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*40(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*45(0),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*54(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*64(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*42(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*38(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*32(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*45(1),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*48(0),0.045*23(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*35(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*45(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*37(0),0.045*25(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*40(0),0.045*2(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*30(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*26(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*0(0),0.1*56(0),0.045*10(0),0.015*0(0)
